GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012
0500000US26051,26051,"Gladwin County, Michigan",25692,25692,25702,25800,25484
0500000US26053,26053,"Gogebic County, Michigan",16427,16427,16386,16127,16084
0500000US26055,26055,"Grand Traverse County, Michigan",86986,86986,87034,88294,89112
0500000US26057,26057,"Gratiot County, Michigan",42476,42476,42439,42139,42063
0500000US26059,26059,"Hillsdale County, Michigan",46688,46688,46603,46565,46229
0500000US26061,26061,"Houghton County, Michigan",36628,36628,36694,36712,36520
0500000US26063,26063,"Huron County, Michigan",33118,33118,33063,32704,32463
0500000US26065,26065,"Ingham County, Michigan",280895,280891,280882,281806,281723
0500000US26067,26067,"Ionia County, Michigan",63905,63905,63883,63898,63941
0500000US26069,26069,"Iosco County, Michigan",25887,25887,25806,25523,25357
0500000US26071,26071,"Iron County, Michigan",11817,11817,11799,11761,11587
0500000US26073,26073,"Isabella County, Michigan",70311,70311,70321,70636,70617
0500000US26075,26075,"Jackson County, Michigan",160248,160248,160226,159810,160309
0500000US26077,26077,"Kalamazoo County, Michigan",250331,250331,250729,252328,254580
